Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Groundnut,2016,Kharif     ,Arunachal Pradesh,888.0,868,2933.7,136086.0,310.8,1.177142857
Peas & beans (Pulses),2007,Rabi       ,Haryana,1040.0,1200,443.8,138736.0,166.4,0.663333333
Tapioca,2010,Kharif     ,Meghalaya,4180.0,21793,3119.7,694339.8,1003.2,6.087142857
Cotton(lint),2003,Kharif     ,Mizoram,343.0,1336,2499.5,33950.14,82.32,3.501666667
Masoor,2015,Rabi       ,Punjab,600.0,420,512.6,94746.0,198.0,0.65
Ragi,2008,Kharif     ,Maharashtra,125500.0,125000,1052.8,17951520.0,11295.0,0.921666667
Arhar/Tur,2002,Kharif     ,Himachal Pradesh,334.0,52,890.8,31619.78,83.5,0.22
Maize,1998,Kharif     ,Himachal Pradesh,300976.0,662272,1381.6,29736428.8,87283.04,2.23
Small millets,2007,Kharif     ,Himachal Pradesh,7443.0,5463,1095.4,992896.2,1190.88,0.657142857
Turmeric,2006,Whole Year ,Arunachal Pradesh,532.0,1965,1940.0,67941.72,117.04,4.425
Wheat,2007,Rabi       ,Uttarakhand,372919.0,798233,1924.3,49747394.6,59667.04,1.673846154
Jowar,2019,Rabi       ,Andhra Pradesh,117962.0,350076,899.2,20261153.12,43645.94,2.358
Maize,2010,Kharif     ,Madhya Pradesh,837865.0,1332205,856.3,139177755.1,201087.6,1.3712
Bajra,2018,Kharif     ,Nagaland,710.0,720,1372.7,115162.0,248.5,0.995454545
Moong(Green Gram),1999,Kharif     ,Andhra Pradesh,320634.0,174742,650.4,34028886.42,86571.18,0.626818182
Rice,2012,Rabi       ,Nagaland,3550.0,8950,1296.6,535340.0,1100.5,2.52
Rapeseed &Mustard,2008,Rabi       ,Assam,226385.0,124688,2109.9,32382110.4,20374.65,0.521111111
Maize,2014,Kharif     ,Nagaland,63600.0,125630,1333.3,9601056.0,20988.0,1.973636364
Rice,2012,Rabi       ,Andhra Pradesh,1141000.0,4344000,968.7,172062800.0,353710.0,3.243636364
Groundnut,2010,Kharif     ,Uttarakhand,1330.0,1449,1419.0,220926.3,319.2,1.112
Barley,2009,Rabi       ,Bihar,10967.0,12421,889.3,1708877.94,1864.39,1.281290323
Potato,2018,Whole Year ,Madhya Pradesh,145736.5,3309669,1102.2,23638460.3,51007.775,21.3004
Peas & beans (Pulses),2014,Rabi       ,Tripura,2057.0,1731,2015.7,310524.72,678.81,0.84125
Jowar,2009,Summer     ,Karnataka,5973.0,8824,1321.0,930712.86,1015.41,1.498461538
Coconut ,2015,Whole Year ,Karnataka,441100.0,3688825000,1024.9,69654101.0,145563.0,8706.411724
Garlic,2006,Whole Year ,Gujarat,32000.0,211300,1056.2,4086720.0,7040.0,5.95
Rice,2007,Summer     ,Meghalaya,11546.0,48132,4702.0,1540236.4,1847.36,2.022857143
Rice,2000,Rabi       ,Meghalaya,4003.0,13135,6258.8,392974.51,1040.78,1.744285714
Coriander,2009,Rabi       ,Himachal Pradesh,120.0,66,969.9,18698.4,20.4,0.608
Other Cereals,2012,Rabi       ,Uttarakhand,631.0,432,1309.8,95154.8,195.61,0.807142857
Groundnut,2016,Winter     ,Odisha,4355.0,5469,1460.5,667403.75,1524.25,1.24875
Horse-gram,2006,Whole Year ,Tamil Nadu,55635.0,32549,927.9,7105145.85,12239.7,0.5884
Peas & beans (Pulses),2005,Rabi       ,Chhattisgarh,17158.0,6034,1292.7,2057587.36,3603.18,0.329333333
Sugarcane,2007,Kharif     ,Nagaland,4000.0,220320,1769.0,533600.0,640.0,55.075
Castor seed,2015,Rabi       ,Chhattisgarh,54.0,17,1136.0,8527.14,17.82,0.278571429
Masoor,2014,Rabi       ,Haryana,2000.0,1600,301.3,301920.0,660.0,0.871428571
Masoor,2008,Rabi       ,Manipur,455.0,377,1134.8,65083.2,40.95,0.836666667
Rice,2006,Kharif     ,Jammu and Kashmir,252516.0,554258,1786.5,32248818.36,55553.52,2.060833333
Potato,2014,Rabi       ,Mizoram,181.0,1176,2029.9,27323.76,59.73,5.756666667
Dry chillies,1998,Whole Year ,Kerala,297.0,288,3151.5,29343.6,86.13,0.937777778
Other  Rabi pulses,1997,Rabi       ,Gujarat,2900.0,1800,798.9,275993.0,899.0,0.622857143
Onion,2000,Whole Year ,Chhattisgarh,3362.0,26533,896.4,330047.54,874.12,7.798
Groundnut,2002,Rabi       ,West Bengal,7020.0,10523,1629.1,664583.4,1755.0,1.422
Gram,2014,Rabi       ,Punjab,1800.0,1950,382.7,271728.0,594.0,1.102222222
Horse-gram,2006,Rabi       ,Chhattisgarh,2492.0,696,1317.2,318253.32,548.24,0.445384615
Masoor,2016,Rabi       ,Uttarakhand,10291.0,7667,1580.9,1577095.75,3601.85,0.740769231
Jowar,2001,Rabi       ,Madhya Pradesh,4676.0,4222,955.0,477559.88,1215.76,1.232142857
Potato,2013,Winter     ,Jharkhand,22552.0,155407,1253.6,3258538.48,6089.04,7.315
Soyabean,2017,Kharif     ,Arunachal Pradesh,3129.0,4435,2745.5,492629.76,1189.02,1.516842105
Sunflower,2004,Kharif     ,Andhra Pradesh,476116.0,290245,781.8,51582407.44,99984.36,0.714545455
Rice,2013,Summer     ,Puducherry,3769.0,12965,1083.2,544582.81,1017.63,3.41
Jowar,2016,Rabi       ,Maharashtra,3012030.0,1963350,1151.1,461593597.5,1054210.5,0.906153846
Banana,2008,Whole Year ,Assam,45580.0,629050,2109.9,6519763.2,4102.2,13.89074074
Onion,2015,Whole Year ,Kerala,27.0,0,2602.9,4263.57,8.91,0.0
Wheat,2012,Rabi       ,Meghalaya,406.0,742,2945.3,61224.8,125.86,1.356666667
Other Kharif pulses,2008,Kharif     ,West Bengal,976.0,752,1560.1,139607.04,87.84,0.675
Peas & beans (Pulses),2017,Rabi       ,Arunachal Pradesh,3670.0,5239,2745.5,577804.8,1394.6,1.537894737
Other Kharif pulses,2013,Kharif     ,Andhra Pradesh,3488.0,2369,1062.3,503981.12,941.76,0.5025
Sugarcane,2001,Whole Year ,Nagaland,1000.0,48000,1532.0,102130.0,260.0,43.005
Cashewnut,2006,Whole Year ,Goa,55302.0,24380,2928.8,7062618.42,12166.44,0.44
Tobacco,2015,Whole Year ,Maharashtra,1606.0,2803,875.7,253603.46,529.98,1.125
Sunflower,2017,Kharif     ,Telangana,411.0,871,815.7,64707.84,156.18,1.98
Other  Rabi pulses,2013,Summer     ,Puducherry,1.0,1,1083.2,144.49,0.27,1.0
Maize,2000,Rabi       ,Maharashtra,70200.0,87600,1057.8,6891534.0,18252.0,1.161666667
Sannhamp,2017,Kharif     ,Uttar Pradesh,2116.0,408,652.1,333143.04,804.08,0.182413793
Peas & beans (Pulses),2014,Rabi       ,Bihar,17142.0,17313,1061.0,2587756.32,5656.86,0.989459459
Turmeric,2015,Whole Year ,Arunachal Pradesh,800.0,3840,2593.2,126328.0,264.0,4.782
Urad,2008,Kharif     ,Sikkim,3220.0,2826,2247.5,460588.8,289.8,0.85
Sugarcane,2015,Whole Year ,Maharashtra,987100.0,69235400,875.7,155872961.0,325743.0,59.97133333
Moong(Green Gram),1998,Rabi       ,Tripura,630.0,260,2472.9,62244.0,182.7,0.4125
Onion,1999,Whole Year ,Puducherry,14.0,183,1434.5875,1485.82,3.78,13.07
Potato,2006,Kharif     ,Jammu and Kashmir,889.0,5962,1786.5,113534.19,195.58,6.66
Rice,1998,Kharif     ,Goa,41000.0,104249,2964.9,4050800.0,11890.0,2.54
Black pepper,2019,Whole Year ,Assam,3410.0,7664,2084.7,585701.6,1261.7,2.28962963
Onion,2010,Whole Year ,Haryana,2150.0,43800,639.2,357136.5,516.0,19.95642857
Small millets,2009,Kharif     ,Assam,6260.0,3246,1727.1,975433.2,1064.2,0.750384615
Ragi,2006,Winter     ,Odisha,39905.0,27462,1716.9,5096267.55,8779.1,0.522666667
Sesamum,2014,Rabi       ,Puducherry,12.0,9,1330.0,1811.52,3.96,0.75
Ginger,2016,Kharif     ,Uttar Pradesh,916.0,3756,965.3,140377.0,320.6,4.085714286
Sesamum,2007,Summer     ,Puducherry,97.0,110,1434.5875,12939.8,15.52,0.825
Jute,2009,Kharif     ,Tripura,468.0,3778,2004.2,72923.76,79.56,8.075
Ginger,2001,Kharif     ,Puducherry,171.0,89,1434.5875,17464.23,44.46,0.375
Rice,2011,Rabi       ,Meghalaya,12836.0,54206,4083.104545,2150286.72,4235.88,2.07
Moth,2003,Kharif     ,Gujarat,47200.0,27100,902.5,4671856.0,11328.0,0.533333333
Mesta,2014,Kharif     ,Telangana,7.0,50,746.4,1056.72,2.31,7.14
Tobacco,1999,Whole Year ,Bihar,17389.0,17613,1402.7,1845494.57,4695.03,1.006666667
Urad,2019,Autumn     ,Odisha,10170.0,2986,1593.9,1746799.2,3762.9,0.318181818
Groundnut,2005,Kharif     ,Tripura,616.0,665,1765.9,73870.72,129.36,1.1475
Sugarcane,2009,Kharif     ,Puducherry,1785.0,247254,1434.5875,278138.7,303.45,97.28
Groundnut,2006,Summer     ,Gujarat,100100.0,174600,1056.2,12783771.0,22022.0,1.750454545
Potato,1999,Whole Year ,Mizoram,530.0,3924,2535.9,56248.9,143.1,6.35
Onion,2000,Whole Year ,Manipur,350.0,740,1969.7,34359.5,91.0,2.1
Rice,2018,Summer     ,Assam,400873.0,1145512,2372.9,65021600.6,140305.55,2.645
Cotton(lint),2011,Kharif     ,Himachal Pradesh,19.0,43,1108.3,3182.88,6.27,2.21
Tobacco,2014,Rabi       ,Andhra Pradesh,136306.0,348342,687.6,20576753.76,44980.98,3.428571429
Coriander,2019,Rabi       ,Andhra Pradesh,1119.0,553,899.2,192199.44,414.03,0.50375
Sweet potato,2019,Rabi       ,Telangana,108.0,1693,1031.7,18550.08,39.96,15.6875
other oilseeds,2000,Rabi       ,Uttarakhand,128.0,88,1413.4,12565.76,33.28,0.572857143
Other Kharif pulses,2000,Kharif     ,Chhattisgarh,4695.0,1558,896.4,460908.15,1220.7,0.335625
Garlic,2012,Whole Year ,Kerala,72.0,658,2187.6,10857.6,22.32,9.14
Gram,2016,Rabi       ,Jharkhand,52054.0,58317,1296.3,7977275.5,18218.9,1.09625
Bajra,2004,Kharif     ,Uttar Pradesh,878399.0,1335462,704.0,95165747.66,184463.79,1.386666667
Rice,2002,Winter     ,West Bengal,4051084.0,9393991,1629.1,383516122.3,1012771.0,2.221666667
Garlic,2000,Whole Year ,Kerala,538.0,9146,2412.6,52815.46,139.88,17.0
Rapeseed &Mustard,2011,Rabi       ,Jharkhand,7486.0,6484,1374.7,1254054.72,2470.38,0.851666667
Bajra,1998,Rabi       ,Karnataka,451.0,536,1260.8,44558.8,130.79,1.19
Sesamum,2018,Rabi       ,Puducherry,5.0,4,1693.9,811.0,1.75,0.8
Gram,2004,Rabi       ,Karnataka,408094.0,230979,1117.7,44212903.96,85699.74,0.5444
Urad,2007,Summer     ,Uttar Pradesh,51281.0,28758,672.9,6840885.4,8204.96,0.57245614
Rice,2018,Kharif     ,Goa,25841.0,70272,4406.0,4191410.2,9044.35,2.72
other oilseeds,2003,Rabi       ,Uttarakhand,87.0,29,1734.3,8611.26,20.88,0.298333333
Sweet potato,2008,Whole Year ,Madhya Pradesh,3584.0,20770,895.0,512655.36,322.56,5.977446809
Turmeric,2018,Whole Year ,Meghalaya,2658.0,16557,5649.1,431127.6,930.3,5.918181818
Ragi,2003,Kharif     ,Odisha,70490.0,44575,1648.2,6977100.2,16917.6,0.4768
Barley,1999,Rabi       ,Madhya Pradesh,84318.0,100751,1222.9,8948669.34,22765.86,1.42
Banana,2008,Whole Year ,Madhya Pradesh,7847.0,397231,895.0,1122434.88,706.23,33.19923077
Cardamom,2000,Whole Year ,Kerala,41288.0,7580,2412.6,4053242.96,10734.88,0.055
Maize,2003,Kharif     ,Haryana,16570.0,41000,592.3,1640098.6,3976.8,0.960588235
Maize,2006,Kharif     ,Meghalaya,17039.0,25334,2454.7,2176050.69,3748.58,1.541428571
Maize,1998,Kharif     ,Arunachal Pradesh,36244.0,47022,3616.7,3580907.2,10510.76,1.458461538
Turmeric,2006,Summer     ,Manipur,30.0,20,1533.561905,3831.3,6.6,0.67
Urad,2019,Summer     ,Madhya Pradesh,32389.0,40419,1446.7,5563134.64,11983.93,0.696571429
Garlic,2000,Whole Year ,Karnataka,5949.0,4156,1213.3,584013.33,1546.74,1.491333333
Peas & beans (Pulses),2018,Rabi       ,Meghalaya,2335.0,4525,5649.1,378737.0,817.25,1.800909091
Jowar,2002,Kharif     ,Delhi,9273.0,4015,593.6,877874.91,2318.25,0.43
Guar seed,2013,Whole Year ,Gujarat,442766.0,349833,1006.5,63975259.34,119546.82,0.888181818
Soyabean,2006,Kharif     ,Himachal Pradesh,638.0,1073,1207.0,81478.98,140.36,1.691428571
Ragi,2013,Kharif     ,Goa,18.0,14,3642.6,2600.82,4.86,1.015
Groundnut,2010,Kharif     ,Manipur,3075.0,2207,2160.5,510788.25,738.0,0.722222222
Rapeseed &Mustard,2008,Rabi       ,Sikkim,5300.0,4450,2247.5,758112.0,477.0,0.85
Potato,2010,Whole Year ,Manipur,13650.0,114000,2160.5,2267401.5,3276.0,8.286666667
Masoor,2005,Rabi       ,Madhya Pradesh,580847.0,292290,1032.7,69655172.24,121977.87,0.453478261
Jowar,1997,Kharif     ,Nagaland,900.0,630,1398.5,85653.0,279.0,0.725
Rice,2014,Kharif     ,Andhra Pradesh,1634921.0,5097447,687.6,246807674.2,539523.93,3.184615385
Sunflower,2018,Kharif     ,Nagaland,360.0,320,1372.7,58392.0,126.0,0.898333333
Rapeseed &Mustard,2015,Rabi       ,Uttar Pradesh,593351.0,602616,596.7,93696056.41,195805.83,0.8876
Moong(Green Gram),2019,Summer     ,Karnataka,310.0,51,1422.3,53245.6,114.7,0.088571429
Rice,2015,Summer     ,Odisha,234000.0,782000,1210.1,36950940.0,77220.0,2.619090909
Linseed,2002,Rabi       ,Karnataka,17401.0,6118,860.8,1647352.67,4350.25,0.342857143
Rapeseed &Mustard,2007,Rabi       ,Uttarakhand,12026.0,7704,1924.3,1604268.4,1924.16,0.548461538
Onion,1998,Summer     ,Manipur,40.0,90,1855.0,3952.0,11.6,2.165
Ginger,2001,Whole Year ,Kerala,10706.0,40181,2946.7,1093403.78,2783.56,3.167857143
Horse-gram,2019,Rabi       ,West Bengal,1739.0,919,1733.4,298690.64,643.43,0.563
Cotton(lint),2009,Kharif     ,Himachal Pradesh,8.0,2,969.9,1246.56,1.36,0.335
Coriander,2007,Rabi       ,Himachal Pradesh,236.0,68,1095.4,31482.4,37.76,0.252
Rapeseed &Mustard,2009,Rabi       ,Gujarat,216000.0,341400,618.0,33657120.0,36720.0,1.492105263
Rapeseed &Mustard,2012,Rabi       ,Assam,279496.0,170382,2167.5,42147996.8,86643.76,0.564814815
Gram,2013,Rabi       ,Karnataka,945771.0,715973,1235.6,136654451.8,255358.17,0.697777778
Moong(Green Gram),2007,Summer     ,Odisha,148138.0,38981,1633.8,19761609.2,23702.08,0.288928571
Moth,2012,Kharif     ,Jammu and Kashmir,2823.0,1615,1116.7,425708.4,875.13,0.66
Maize,2010,Kharif     ,Jammu and Kashmir,308215.0,527690,1352.0,51197593.65,73971.6,1.5675
Gram,2011,Rabi       ,Karnataka,802666.0,358478,1178.986364,134462608.3,264879.78,0.4464
Dry chillies,2013,Rabi       ,Telangana,24557.0,107792,1348.7,3548240.93,6630.39,4.40625
Gram,1998,Rabi       ,Assam,3002.0,1503,2354.4,296597.6,870.58,0.460454545
Wheat,2016,Rabi       ,Jammu and Kashmir,290301.0,548542,902.8,44488628.25,101605.35,1.416428571
Groundnut,2013,Summer     ,Maharashtra,84200.0,125850,1409.8,12166058.0,22734.0,1.507407407
other oilseeds,2016,Kharif     ,Nagaland,2430.0,1460,1959.8,372397.5,850.5,0.6
Linseed,2017,Rabi       ,Karnataka,2294.0,792,1111.7,361167.36,871.72,0.366666667
Ginger,2004,Whole Year ,Andhra Pradesh,1873.0,10906,781.8,202920.82,393.33,5.2775
Sugarcane,2007,Whole Year ,Andhra Pradesh,247000.0,20182000,1004.2,32949800.0,39520.0,83.4125
Other Kharif pulses,2005,Kharif     ,Tamil Nadu,68999.0,21356,1364.1,8274360.08,14489.79,0.366923077
Small millets,2012,Kharif     ,Assam,4429.0,2200,2167.5,667893.2,1372.99,0.537307692
Jowar,1999,Kharif     ,Nagaland,1500.0,1070,1782.2,159195.0,405.0,0.728571429
Sesamum,2015,Kharif     ,Uttar Pradesh,545983.0,165537,596.7,86216175.53,180174.39,0.253150685
Wheat,2014,Rabi       ,Nagaland,3070.0,5600,1333.3,463447.2,1013.1,1.823333333
Dry chillies,2014,Rabi       ,Karnataka,7842.0,14712,1238.5,1183828.32,2587.86,1.874137931
Masoor,2011,Rabi       ,Punjab,1000.0,720,705.2,167520.0,330.0,0.715
Groundnut,2003,Kharif     ,Karnataka,677779.0,294577,867.6,67086565.42,162666.96,0.5316
Ginger,2019,Kharif     ,Odisha,17140.0,228840,1593.9,2943966.4,6341.8,13.45275862
Moong(Green Gram),1997,Summer     ,West Bengal,9959.0,303,1852.9,947798.03,3087.29,0.046
Gram,2011,Rabi       ,Jammu and Kashmir,103.0,57,887.6,17254.56,33.99,0.55
Soyabean,2016,Kharif     ,Meghalaya,1850.0,3502,3837.1,283512.5,647.5,2.144545455
Banana,2006,Whole Year ,Andhra Pradesh,50286.0,1224106,845.2,6422025.06,11062.92,26.19809524
Sesamum,2005,Summer     ,Odisha,10331.0,2788,1503.4,1238893.52,2169.51,0.284615385
Bajra,1997,Kharif     ,Karnataka,301149.0,132056,1266.7,28660350.33,93356.19,0.404545455
Barley,2000,Rabi       ,Sikkim,1140.0,1210,2504.8,111913.8,296.4,1.0475
Sugarcane,1998,Whole Year ,Assam,30571.0,1223578,2354.4,3020414.8,8865.59,39.89304348
Gram,2002,Rabi       ,Karnataka,479801.0,251857,860.8,45422760.67,119950.25,0.473181818
Tobacco,2002,Whole Year ,Andhra Pradesh,173612.0,451214,648.1,16435848.04,43403.0,3.58547619
Bajra,2002,Kharif     ,Uttarakhand,4.0,5,1610.3,378.68,1.0,1.165
Black pepper,2003,Whole Year ,Kerala,216440.0,69015,2386.0,21423231.2,51945.6,0.222857143
Maize,2002,Kharif     ,Himachal Pradesh,299801.0,483333,890.8,28382160.67,74950.25,1.6075
